"filename", "language", "C++", "Skill", "Markdown", "JSON", "Diff", "CMake", "C", "Batch", "GLSL", "PowerShell", "YAML", "Makefile", "Python", "JavaScript", "Shell Script", "PostCSS", "Properties", "HTML", "XML", "Perl", "HLSL", "Objective-C++", "Rust", "comment", "blank", "total"
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmac.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 210, 32, 290
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmm.h", "C++", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 720, 66, 891
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmodapi.h", "C++", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 642, 71, 808
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmoderr.h", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 120, 31, 205
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftotval.h", "C++", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 25, 207
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftoutln.h", "C++", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 474, 50, 589
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftparams.h", "C++", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 148, 37, 216
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftpfr.h", "C++", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 21, 180
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftrender.h", "C++", 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 44, 245
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsizes.h", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 118, 24, 160
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsnames.h", "C++", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 207, 30, 273
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftstroke.h", "C++", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 621, 62, 774
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsynth.h", "C++", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 23, 105
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsystem.h", "C++", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 258, 43, 351
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\fttrigon.h", "C++", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 262, 45, 351
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\fttypes.h", "C++", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 442, 94, 616
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftwinfnt.h", "C++", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 176, 27, 276
"c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\autohint.h", "C++", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 156, 32, 235
