Date : 2026-06-17 22:04:20
Directory : c:\ws-code\ws-kwik\kwik-ui
Total : 1855 files,  555037 codes, 127968 comments, 105109 blanks, all 788114 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftlzw.h                                               | C++           |         14 |         72 |         15 |        101 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmac.h                                               | C++           |         48 |        210 |         32 |        290 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmm.h                                                | C++           |        105 |        720 |         66 |        891 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmodapi.h                                            | C++           |         95 |        642 |         71 |        808 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftmoderr.h                                            | C++           |         54 |        120 |         31 |        205 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftotval.h                                             | C++           |         34 |        148 |         25 |        207 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftoutln.h                                             | C++           |         65 |        474 |         50 |        589 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftparams.h                                            | C++           |         31 |        148 |         37 |        216 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftpfr.h                                               | C++           |         26 |        133 |         21 |        180 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftrender.h                                            | C++           |         82 |        119 |         44 |        245 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsizes.h                                             | C++           |         18 |        118 |         24 |        160 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsnames.h                                            | C++           |         36 |        207 |         30 |        273 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftstroke.h                                            | C++           |         91 |        621 |         62 |        774 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsynth.h                                             | C++           |         23 |         59 |         23 |        105 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftsystem.h                                            | C++           |         50 |        258 |         43 |        351 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\fttrigon.h                                            | C++           |         44 |        262 |         45 |        351 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\fttypes.h                                             | C++           |         80 |        442 |         94 |        616 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ftwinfnt.h                                            | C++           |         73 |        176 |         27 |        276 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\autohint.h                                   | C++           |         47 |        156 |         32 |        235 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\cffotypes.h                                  | C++           |         35 |         45 |         28 |        108 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\cfftypes.h                                   | C++           |        223 |         98 |         96 |        417 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\compiler-macros.h                            | C++           |        107 |        200 |         37 |        344 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftcalc.h                                     | C++           |        229 |        128 |        120 |        477 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftdebug.h                                    | C++           |        154 |        188 |        101 |        443 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftdrv.h                                      | C++           |        131 |        115 |         44 |        290 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftgloadr.h                                   | C++           |         73 |         37 |         38 |        148 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\fthash.h                                     | C++           |         78 |         38 |         43 |        159 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftmemory.h                                   | C++           |        229 |         68 |        105 |        402 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftmmtypes.h                                  | C++           |         39 |         29 |         24 |         92 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftobjs.h                                     | C++           |        499 |        539 |        191 |      1,229 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftpsprop.h                                   | C++           |         15 |         17 |         16 |         48 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftrfork.h                                    | C++           |         65 |        149 |         32 |        246 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftserv.h                                     | C++           |        276 |        165 |         55 |        496 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftstream.h                                   | C++           |        320 |        116 |        135 |        571 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\fttrace.h                                    | C++           |        108 |         43 |         29 |        180 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\ftvalid.h                                    | C++           |         54 |         72 |         35 |        161 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\psaux.h                                      | C++           |        701 |        449 |        298 |      1,448 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\pshints.h                                    | C++           |        113 |        518 |         69 |        700 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svbdf.h                             | C++           |         28 |         18 |         21 |         67 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svcfftl.h                           | C++           |         50 |         17 |         24 |         91 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svcid.h                             | C++           |         33 |         18 |         19 |         70 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svfntfmt.h                          | C++           |         17 |         23 |         17 |         57 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svgldict.h                          | C++           |         27 |         23 |         23 |         73 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svgxval.h                           | C++           |         26 |         26 |         21 |         73 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svkern.h                            | C++           |         17 |         18 |         17 |         52 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svmetric.h                          | C++           |         73 |         25 |         34 |        132 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svmm.h                              | C++           |        146 |         29 |         40 |        215 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svotval.h                           | C++           |         20 |         18 |         18 |         56 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svpfr.h                             | C++           |         29 |         17 |         20 |         66 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svpostnm.h                          | C++           |         18 |         27 |         21 |         66 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svprop.h                            | C++           |         28 |         18 |         21 |         67 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svpscmap.h                          | C++           |         70 |         38 |         38 |        146 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svpsinfo.h                          | C++           |         44 |         18 |         25 |         87 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svsfnt.h                            | C++           |         34 |         30 |         25 |         89 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svttcmap.h                          | C++           |         25 |         43 |         23 |         91 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svtteng.h                           | C++           |         12 |         24 |         18 |         54 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svttglyf.h                          | C++           |         21 |         18 |         18 |         57 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\services\svwinfnt.h                          | C++           |         15 |         18 |         18 |         51 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\sfnt.h                                       | C++           |        278 |        731 |         91 |      1,100 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\svginterface.h                               | C++           |         16 |         17 |         14 |         47 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\t1types.h                                    | C++           |        137 |         98 |         73 |        308 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\tttypes.h                                    | C++           |        358 |      1,165 |        208 |      1,731 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\internal\wofftypes.h                                  | C++           |         91 |        182 |         40 |        313 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\otsvg.h                                               | C++           |         41 |        262 |         34 |        337 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\t1tables.h                                            | C++           |        200 |        448 |         88 |        736 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\ttnameid.h                                            | C++           |        673 |        494 |         69 |      1,236 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\tttables.h                                            | C++           |        195 |        584 |         81 |        860 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\freetype\tttags.h                                              | C++           |         91 |         19 |         17 |        127 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\include\ft2build.h                                                     | C++           |          4 |         30 |          9 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\modules.cfg                                                            | Properties    |         39 |        165 |         56 |        260 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afadjust.c                                                 | C             |      1,239 |        144 |        239 |      1,622 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afadjust.h                                                 | C++           |         30 |         70 |         31 |        131 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afblue.c                                                   | C             |        746 |         22 |         12 |        780 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afblue.h                                                   | C++           |        343 |         45 |         45 |        433 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afcjk.c                                                    | C             |      1,562 |        277 |        532 |      2,371 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afcjk.h                                                    | C++           |         66 |         34 |         42 |        142 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afcover.h                                                  | C++           |         54 |         30 |         22 |        106 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afdummy.c                                                  | C             |         39 |         18 |         21 |         78 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afdummy.h                                                  | C++           |          7 |         20 |         14 |         41 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\aferrors.h                                                 | C++           |          9 |         23 |         11 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afglobal.c                                                 | C             |        353 |         56 |        129 |        538 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afglobal.h                                                 | C++           |         75 |         61 |         47 |        183 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afgsub.c                                                   | C             |        432 |         70 |        195 |        697 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afgsub.h                                                   | C++           |         12 |         17 |         10 |         39 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afhints.c                                                  | C             |      1,257 |        184 |        371 |      1,812 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afhints.h                                                  | C++           |        193 |        187 |         97 |        477 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afindic.c                                                  | C             |         81 |         31 |         46 |        158 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afindic.h                                                  | C++           |          7 |         20 |         15 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\aflatin.c                                                  | C             |      3,419 |        608 |      1,076 |      5,103 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\aflatin.h                                                  | C++           |         99 |         51 |         54 |        204 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afloader.c                                                 | C             |        434 |        135 |        140 |        709 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afloader.h                                                 | C++           |         39 |         28 |         25 |         92 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afmodule.c                                                 | C             |        369 |         31 |        138 |        538 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afmodule.h                                                 | C++           |         22 |         21 |         19 |         62 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afranges.c                                                 | C             |        846 |         62 |        194 |      1,102 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afranges.h                                                 | C++           |         14 |         18 |         16 |         48 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afscript.h                                                 | C++           |        304 |         34 |         71 |        409 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afshaper.c                                                 | C             |        499 |        124 |        158 |        781 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afshaper.h                                                 | C++           |         31 |         18 |         20 |         69 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afstyles.h                                                 | C++           |        377 |         39 |         72 |        488 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\aftypes.h                                                  | C++           |        220 |        173 |        123 |        516 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afws-decl.h                                                | C++           |          7 |         19 |          8 |         34 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\afws-iter.h                                                | C++           |          4 |         21 |          7 |         32 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\autofit.c                                                  | C             |         16 |         17 |          6 |         39 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\ft-hb-decls.h                                              | C++           |        115 |         36 |         53 |        204 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\ft-hb-ft.c                                                 | C             |         62 |         31 |         25 |        118 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\ft-hb-ft.h                                                 | C++           |          9 |         26 |         12 |         47 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\ft-hb-types.h                                              | C++           |         80 |         31 |         19 |        130 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\ft-hb.c                                                    | C             |        121 |         31 |         46 |        198 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\ft-hb.h                                                    | C++           |         38 |         17 |         28 |         83 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\hb-script-list.h                                           | C++           |        189 |        259 |         37 |        485 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\module.mk                                                  | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\autofit\rules.mk                                                   | Makefile      |         39 |         33 |         21 |         93 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftadvanc.c                                                    | C             |        110 |         33 |         52 |        195 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftbase.c                                                      | C             |         19 |         17 |          6 |         42 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftbase.h                                                      | C++           |         31 |         28 |         24 |         83 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftbbox.c                                                      | C             |        240 |        219 |         84 |        543 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftbdf.c                                                       | C             |         44 |         19 |         28 |         91 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftbitmap.c                                                    | C             |        727 |        111 |        260 |      1,098 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftcalc.c                                                      | C             |        581 |        198 |        270 |      1,049 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftcid.c                                                       | C             |         64 |         18 |         36 |        118 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftcolor.c                                                     | C             |         90 |         20 |         48 |        158 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftdbgmem.c                                                    | C             |        660 |         71 |        240 |        971 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftdebug.c                                                     | C             |        352 |        137 |        156 |        645 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\fterrors.c                                                    | C             |         18 |         17 |         11 |         46 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftfntfmt.c                                                    | C             |         19 |         19 |         17 |         55 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftfstype.c                                                    | C             |         25 |         20 |         17 |         62 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftgasp.c                                                      | C             |         28 |         18 |         15 |         61 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftgloadr.c                                                    | C             |        221 |         75 |         88 |        384 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftglyph.c                                                     | C             |        569 |        100 |        234 |        903 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftgxval.c                                                     | C             |         79 |         26 |         37 |        142 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\fthash.c                                                      | C             |        275 |         41 |        119 |        435 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftinit.c                                                      | C             |        138 |         64 |         62 |        264 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftlcdfil.c                                                    | C             |        123 |         23 |         45 |        191 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftmac.c                                                       | C             |        697 |        169 |        234 |      1,100 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftmm.c                                                        | C             |        463 |         74 |        183 |        720 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftobjs.c                                                      | C             |      3,946 |        590 |      1,358 |      5,894 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftotval.c                                                     | C             |         53 |         18 |         20 |         91 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftoutln.c                                                     | C             |        756 |         89 |        276 |      1,121 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftpatent.c                                                    | C             |         20 |         20 |         11 |         51 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftpfr.c                                                       | C             |         90 |         23 |         40 |        153 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftpsprop.c                                                    | C             |        194 |         25 |         66 |        285 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftrfork.c                                                     | C             |        634 |        100 |        195 |        929 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftsnames.c                                                    | C             |        108 |         25 |         53 |        186 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftstream.c                                                    | C             |        613 |         47 |        213 |        873 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftstroke.c                                                    | C             |      1,647 |        207 |        556 |      2,410 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftsynth.c                                                     | C             |         86 |         53 |         42 |        181 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftsystem.c                                                    | C             |        129 |        150 |         60 |        339 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\fttrigon.c                                                    | C             |        327 |         62 |        129 |        518 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\fttype1.c                                                     | C             |         69 |         21 |         37 |        127 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftutil.c                                                      | C             |        270 |         59 |        113 |        442 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\ftwinfnt.c                                                    | C             |         21 |         18 |         14 |         53 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\md5.c                                                         | C             |        182 |         69 |         41 |        292 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\md5.h                                                         | C++           |         15 |         25 |          6 |         46 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\base\rules.mk                                                      | Makefile      |         36 |         50 |         23 |        109 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\bdf.c                                                          | C             |          3 |         26 |          6 |         35 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\bdf.h                                                          | C++           |        103 |         56 |         66 |        225 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\bdfdrivr.c                                                     | C             |        741 |         82 |        205 |      1,028 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\bdfdrivr.h                                                     | C++           |         22 |         26 |         25 |         73 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\bdferror.h                                                     | C++           |          9 |         27 |         10 |         46 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\bdflib.c                                                       | C             |      1,220 |        189 |        370 |      1,779 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\module.mk                                                      | Makefile      |          5 |         24 |          6 |         35 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bdf\rules.mk                                                       | Makefile      |         19 |         43 |         23 |         85 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bzip2\ftbzip2.c                                                    | C             |        339 |         62 |        135 |        536 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\bzip2\rules.mk                                                     | Makefile      |         14 |         33 |         18 |         65 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcache.c                                                    | C             |          9 |         17 |          6 |         32 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcbasic.c                                                   | C             |        413 |         60 |        126 |        599 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftccache.c                                                   | C             |        356 |         77 |        152 |        585 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftccache.h                                                   | C++           |        213 |         85 |         62 |        360 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftccback.h                                                   | C++           |         45 |         17 |         24 |         86 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftccmap.c                                                    | C             |        189 |         59 |         76 |        324 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcerror.h                                                   | C++           |          9 |         23 |         11 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcglyph.c                                                   | C             |        122 |         28 |         55 |        205 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcglyph.h                                                   | C++           |        120 |        130 |         65 |        315 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcimage.c                                                   | C             |         97 |         21 |         41 |        159 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcimage.h                                                   | C++           |         40 |         37 |         30 |        107 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcmanag.c                                                   | C             |        431 |         62 |        185 |        678 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcmanag.h                                                   | C++           |         48 |         91 |         37 |        176 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcmru.c                                                     | C             |        237 |         18 |         87 |        342 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcmru.h                                                     | C++           |        144 |         40 |         59 |        243 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcsbits.c                                                   | C             |        250 |         80 |         84 |        414 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\ftcsbits.h                                                   | C++           |         46 |         18 |         28 |         92 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cache\rules.mk                                                     | Makefile      |         31 |         33 |         22 |         86 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cff.c                                                          | C             |          7 |         17 |          5 |         29 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffcmap.c                                                      | C             |        137 |         33 |         61 |        231 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffcmap.h                                                      | C++           |         14 |         33 |         21 |         68 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffdrivr.c                                                     | C             |        755 |        203 |        266 |      1,224 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffdrivr.h                                                     | C++           |          7 |         17 |         12 |         36 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cfferrs.h                                                      | C++           |          9 |         22 |         12 |         43 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffgload.c                                                     | C             |        491 |        105 |        155 |        751 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffgload.h                                                     | C++           |         26 |         18 |         19 |         63 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffload.c                                                      | C             |      1,763 |        310 |        498 |      2,571 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffload.h                                                      | C++           |         74 |         17 |         34 |        125 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffobjs.c                                                      | C             |        779 |        128 |        269 |      1,176 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffobjs.h                                                      | C++           |         33 |         25 |         25 |         83 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffparse.c                                                     | C             |      1,135 |        113 |        303 |      1,551 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cffparse.h                                                     | C++           |         80 |         27 |         38 |        145 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\cfftoken.h                                                     | C++           |        109 |         19 |         23 |        151 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\module.mk                                                      | Makefile      |          5 |         12 |          7 |         24 |
| c:\ws-code\ws-kwik\kwik-ui\third_party\freetype\src\cff\rules.mk                                                       | Makefile      |         23 |         31 |         22 |         76 |
