Date : 2026-06-17 22:04:20
Directory : c:\ws-code\ws-kwik\kwik-ui
Total : 1855 files,  555037 codes, 127968 comments, 105109 blanks, all 788114 lines

Languages
+---------------+------------+------------+------------+------------+------------+
| language      | files      | code       | comment    | blank      | total      |
| third_party\freetype\builds\compiler                                                                                   |         12 |        194 |        526 |        283 |      1,003 |
| third_party\freetype\builds\dos                                                                                        |          5 |         98 |        104 |         65 |        267 |
| third_party\freetype\builds\mac                                                                                        |          3 |      2,168 |        204 |        391 |      2,763 |
| third_party\freetype\builds\meson                                                                                      |          5 |        390 |        109 |        119 |        618 |
| third_party\freetype\builds\os2                                                                                        |          4 |         59 |         73 |         57 |        189 |
| third_party\freetype\builds\plan9                                                                                      |          1 |         51 |         16 |         13 |         80 |
| third_party\freetype\builds\unix                                                                                       |          7 |        350 |        284 |        168 |        802 |
| third_party\freetype\builds\vms                                                                                        |          3 |        178 |        133 |         80 |        391 |
| third_party\freetype\builds\wince                                                                                      |          3 |        256 |         86 |        108 |        450 |
| third_party\freetype\builds\wince (Files)                                                                              |          1 |        178 |         86 |         90 |        354 |
| third_party\freetype\builds\wince\vc2005-ce                                                                            |          1 |         39 |          0 |          9 |         48 |
| third_party\freetype\builds\wince\vc2008-ce                                                                            |          1 |         39 |          0 |          9 |         48 |
| third_party\freetype\builds\windows                                                                                    |         19 |      1,444 |        573 |        458 |      2,475 |
| third_party\freetype\builds\windows (Files)                                                                            |         14 |        817 |        513 |        421 |      1,751 |
| third_party\freetype\builds\windows\vc2010                                                                             |          3 |        557 |         60 |         20 |        637 |
| third_party\freetype\builds\windows\visualc                                                                            |          1 |         31 |          0 |          8 |         39 |
| third_party\freetype\builds\windows\visualce                                                                           |          1 |         39 |          0 |          9 |         48 |
| third_party\freetype\devel                                                                                             |          2 |        112 |        853 |        155 |      1,120 |
| third_party\freetype\docs                                                                                              |          2 |        185 |         36 |         12 |        233 |
| third_party\freetype\docs\markdown                                                                                     |          2 |        185 |         36 |         12 |        233 |
| third_party\freetype\docs\markdown\javascripts                                                                         |          1 |         34 |         16 |          5 |         55 |
| third_party\freetype\docs\markdown\stylesheets                                                                         |          1 |        151 |         20 |          7 |        178 |
| third_party\freetype\include                                                                                           |        100 |      9,604 |     26,362 |      5,192 |     41,158 |
| third_party\freetype\include (Files)                                                                                   |          1 |          4 |         30 |          9 |         43 |
| third_party\freetype\include\freetype                                                                                  |         99 |      9,600 |     26,332 |      5,183 |     41,115 |
| third_party\freetype\include\freetype (Files)                                                                          |         46 |      4,047 |     18,724 |      2,334 |     25,105 |
| third_party\freetype\include\freetype\config                                                                           |          8 |        444 |      1,779 |        434 |      2,657 |
| third_party\freetype\include\freetype\internal                                                                         |         45 |      5,109 |      5,829 |      2,415 |     13,353 |
| third_party\freetype\include\freetype\internal (Files)                                                                 |         25 |      4,376 |      5,363 |      1,954 |     11,693 |
| third_party\freetype\include\freetype\internal\services                                                                |         20 |        733 |        466 |        461 |      1,660 |
| third_party\freetype\src                                                                                               |        448 |    135,906 |     34,996 |     40,617 |    211,519 |
| third_party\freetype\src\autofit                                                                                       |         43 |     13,863 |      3,184 |      4,254 |     21,301 |
| third_party\freetype\src\base                                                                                          |         42 |     14,769 |      3,168 |      5,519 |     23,456 |
| third_party\freetype\src\bdf                                                                                           |          8 |      2,122 |        473 |        711 |      3,306 |
| third_party\freetype\src\bzip2                                                                                         |          2 |        353 |         95 |        153 |        601 |
| third_party\freetype\src\cache                                                                                         |         18 |      2,800 |        896 |      1,150 |      4,846 |
| third_party\freetype\src\cff                                                                                           |         17 |      5,447 |      1,130 |      1,770 |      8,347 |
| third_party\freetype\src\cid                                                                                           |         15 |      1,950 |        715 |        768 |      3,433 |
| third_party\freetype\src\dlg                                                                                           |          2 |         25 |         51 |         28 |        104 |
| third_party\freetype\src\gxvalid                                                                                       |         33 |      5,943 |      1,783 |      2,084 |      9,810 |
| third_party\freetype\src\gzip                                                                                          |         18 |     14,185 |      2,662 |        933 |     17,780 |
| third_party\freetype\src\gzip (Files)                                                                                  |         17 |     13,834 |      2,621 |        873 |     17,328 |
| third_party\freetype\src\gzip\patches                                                                                  |          1 |        351 |         41 |         60 |        452 |
| third_party\freetype\src\hvf                                                                                           |         10 |      1,213 |        544 |        465 |      2,222 |
| third_party\freetype\src\lzw                                                                                           |          4 |        606 |        223 |        265 |      1,094 |
| third_party\freetype\src\otvalid                                                                                       |         16 |      2,948 |        876 |      1,406 |      5,230 |
| third_party\freetype\src\pcf                                                                                           |         11 |      2,082 |        495 |        699 |      3,276 |
| third_party\freetype\src\pfr                                                                                           |         17 |      2,853 |        708 |      1,060 |      4,621 |
| third_party\freetype\src\psaux                                                                                         |         39 |     12,024 |      3,691 |      4,066 |     19,781 |
| third_party\freetype\src\pshinter                                                                                      |         12 |      3,083 |        722 |      1,138 |      4,943 |
| third_party\freetype\src\psnames                                                                                       |          7 |      4,615 |        207 |        243 |      5,065 |
| third_party\freetype\src\raster                                                                                        |          9 |      1,690 |        916 |        708 |      3,314 |
| third_party\freetype\src\sdf                                                                                           |         11 |      2,898 |      2,451 |      1,164 |      6,513 |
| third_party\freetype\src\sfnt                                                                                          |         39 |     12,630 |      2,848 |      4,323 |     19,801 |
| third_party\freetype\src\smooth                                                                                        |          8 |      1,886 |        535 |        680 |      3,101 |
| third_party\freetype\src\svg                                                                                           |          6 |        282 |        122 |        149 |        553 |
| third_party\freetype\src\tools                                                                                         |         12 |      7,280 |        504 |        855 |      8,639 |
| third_party\freetype\src\tools (Files)                                                                                 |         10 |      6,707 |        457 |        708 |      7,872 |
| third_party\freetype\src\tools\ftrandom                                                                                |          2 |        573 |         47 |        147 |        767 |
| third_party\freetype\src\truetype                                                                                      |         16 |     11,532 |      4,274 |      3,663 |     19,469 |
| third_party\freetype\src\type1                                                                                         |         17 |      4,124 |      1,112 |      1,378 |      6,614 |
| third_party\freetype\src\type42                                                                                        |         11 |      1,707 |        442 |        629 |      2,778 |
| third_party\freetype\src\winfonts                                                                                      |          5 |        996 |        169 |        356 |      1,521 |
| third_party\freetype\tests                                                                                             |          3 |        184 |        125 |         66 |        375 |
| third_party\freetype\tests (Files)                                                                                     |          1 |         13 |          0 |         10 |         23 |
| third_party\freetype\tests\issue-1063                                                                                  |          1 |         28 |          8 |         13 |         49 |
| third_party\freetype\tests\scripts                                                                                     |          1 |        143 |        117 |         43 |        303 |
| third_party\harfbuzz                                                                                                   |        786 |    188,411 |     39,422 |     33,146 |    260,979 |
| third_party\harfbuzz (Files)                                                                                           |         14 |      1,843 |          0 |        419 |      2,262 |
| third_party\harfbuzz\.ci                                                                                               |          2 |         65 |          4 |         15 |         84 |
| third_party\harfbuzz\.github                                                                                           |         16 |        802 |         22 |         86 |        910 |
| third_party\harfbuzz\.github (Files)                                                                                   |          1 |         10 |          0 |          1 |         11 |
| third_party\harfbuzz\.github\workflows                                                                                 |         15 |        792 |         22 |         85 |        899 |
| third_party\harfbuzz\docs                                                                                              |         18 |      5,657 |         15 |        461 |      6,133 |
| third_party\harfbuzz\perf                                                                                              |          9 |      1,233 |         67 |        255 |      1,555 |
| third_party\harfbuzz\src                                                                                               |        521 |    142,075 |     34,645 |     25,006 |    201,726 |
| third_party\harfbuzz\src (Files)                                                                                       |        418 |    121,675 |     32,869 |     21,031 |    175,575 |
| third_party\harfbuzz\src\OT                                                                                            |         80 |     14,604 |      1,000 |      2,947 |     18,551 |
| third_party\harfbuzz\src\OT\Color                                                                                      |          6 |      4,535 |        301 |        841 |      5,677 |
| third_party\harfbuzz\src\OT\Color\CBDT                                                                                 |          1 |        837 |         60 |        137 |      1,034 |
| third_party\harfbuzz\src\OT\Color\COLR                                                                                 |          2 |      2,423 |        113 |        459 |      2,995 |
| third_party\harfbuzz\src\OT\Color\CPAL                                                                                 |          1 |        270 |         44 |         54 |        368 |
| third_party\harfbuzz\src\OT\Color\sbix                                                                                 |          1 |        327 |         51 |         72 |        450 |
| third_party\harfbuzz\src\OT\Color\svg                                                                                  |          1 |        678 |         33 |        119 |        830 |
| third_party\harfbuzz\src\OT\Layout                                                                                     |         60 |      6,932 |        514 |      1,444 |      8,890 |
| third_party\harfbuzz\src\OT\Layout (Files)                                                                             |          1 |         37 |         27 |          9 |         73 |
| third_party\harfbuzz\src\OT\Layout\Common                                                                              |          4 |        652 |        129 |         90 |        871 |
| third_party\harfbuzz\src\OT\Layout\GDEF                                                                                |          1 |        858 |         78 |        125 |      1,061 |
| third_party\harfbuzz\src\OT\Layout\GPOS                                                                                |         32 |      3,327 |        201 |        747 |      4,275 |
| third_party\harfbuzz\src\OT\Layout\GSUB                                                                                |         22 |      2,058 |         79 |        473 |      2,610 |
| third_party\harfbuzz\src\OT\Var                                                                                        |          3 |        598 |         25 |        132 |        755 |
| third_party\harfbuzz\src\OT\Var\VARC                                                                                   |          3 |        598 |         25 |        132 |        755 |
| third_party\harfbuzz\src\OT\glyf                                                                                       |         10 |      2,094 |        117 |        428 |      2,639 |
| third_party\harfbuzz\src\OT\name                                                                                       |          1 |        445 |         43 |        102 |        590 |
| third_party\harfbuzz\src\graph                                                                                         |         12 |      3,773 |        610 |        759 |      5,142 |
| third_party\harfbuzz\src\rust                                                                                          |          4 |      1,372 |         45 |        165 |      1,582 |
| third_party\harfbuzz\src\wasm                                                                                          |          7 |        651 |        121 |        104 |        876 |
